,ID,Sex,Status,Children,Est_Income,Car_Owner,Usage,Age,RatePlan,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,14,50,70,115,121,212,239,259,313,319
0,1,F,S,1,38000.0,N,229.64,24.393333,3,23.56,0.0,206.08,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,M,M,2,29616.0,N,75.29,49.426667,2,29.78,0.0,45.5,0,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,M,M,0,19732.8,N,47.25,50.673333,3,24.81,0.0,22.44,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11,M,S,2,96.33,N,59.01,56.473333,1,26.13,0.0,32.88,1,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,14,F,M,2,52004.8,N,28.14,25.14,1,5.03,0.0,23.11,0,CH,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,17,M,M,2,53010.8,N,58.87,18.84,1,12.45,0.0,46.42,4,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18,M,M,1,75004.5,N,58.72,64.8,1,26.52,0.0,32.19,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,21,M,M,0,19749.3,N,34.17,60.36666700000001,3,20.22,0.0,13.94,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22,M,S,1,57626.9,Y,48.35,43.906667,2,9.38,0.0,38.96,0,CC,Budget,Standard,0.3205940864121857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,23,M,M,2,20078.0,N,15.98,32.846667,4,9.65,0.0,6.33,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
